108.808867,-32.019623,7,91
-76.214563,82.5630785,4,67
99.169966,-28.1109795,8,68
-166.975394,16.070858,6,78
106.980634,-25.0464785,5,23
-173.999730,53.809366,7,37
122.077509,-55.5199465,1,76
12.328010,77.418597,4,56
163.277877,43.9873065,2,43
78.223671,83.317432,2,7
172.897081,-19.759388,1,8
-10.296644,-56.9522395,4,53
-169.480297,-31.688729,5,90
-146.978467,30.285250,3,29
-164.330931,7.737029,2,3
-27.734229,-43.584707,4,31
40.794070,-52.261049,4,32
-142.474747,85.118165,3,49
16.322383,-47.2712925,4,30
-19.398327,-35.889872,7,16
-153.287028,39.8328835,3,32
-168.819306,31.291030,1,3
175.374978,-27.6481115,6,49
-142.201977,-54.422216,13,93
142.208278,-44.038245,5,6
83.279780,-13.6758835,6,94
94.423552,-14.856713,10,92
94.908975,-6.9845205,4,7
137.299751,84.0460245,2,0
-155.814289,-51.769529,3,49
98.372657,-24.108747,2,43
-146.096944,-10.473349,4,8
-176.669269,53.511985,1,21
-126.489964,5.2631985,1,33
6.479498,89.9686315,1,7
-7.752418,-39.172439,1,36
118.921571,81.2958165,1,32
96.530599,81.0187785,4,51
97.249804,-2.782123,2,4
-97.936786,-39.1405695,1,28
-14.414210,49.782329,1,73
165.213420,17.477632,1,99
-12.299663,88.705814,3,70
138.833418,89.9811715,1,35
-18.068481,-8.408556,3,21
-159.573330,-39.726838,1,17
171.277275,-4.161397,1,33
75.706952,-62.089057,2,57
154.918552,77.1525255,2,0
88.930977,4.3721865,2,51
-155.374688,-53.6274905,3,25
119.646745,-46.0225205,3,70
178.677589,48.643611,4,52
87.294645,-58.870409,1,8
-24.327010,36.271189,2,66
-48.725310,49.2690185,1,69
-23.162249,-48.430086,1,84
